1stclosing,2ndclosing,3rdclosing,4thclosing,5thclosing,6thopening
171.08,170.6,170.57,175.01,175.01,174.87
170.6,170.57,175.01,175.01,174.35,175.03
170.57,175.01,175.01,174.35,174.54,174.88
175.01,175.01,174.35,174.54,176.42,173.63
175.01,174.35,174.54,176.42,173.87,172.4
174.35,174.54,176.42,173.87,172.22,172.5
174.54,176.42,173.87,172.22,172.27,172.15
176.42,173.87,172.22,172.27,171.7,169.2
173.87,172.22,172.27,171.7,172.67,170.49
172.22,172.27,171.7,172.67,169.37,169.03
172.27,171.7,172.67,169.37,169.452,167.5
171.7,172.67,169.37,169.452,169.01,169.06
172.67,169.37,169.452,169.01,169.64,172.48
169.37,169.452,169.01,169.64,169.8,169.95
169.452,169.01,169.64,169.8,171.05,170.43
169.01,169.64,169.8,171.05,171.85,172.63
169.64,169.8,171.05,171.85,169.48,174.3
169.8,171.05,171.85,169.48,173.07,175.05
171.05,171.85,169.48,173.07,174.09,175.1
171.85,169.48,173.07,174.09,174.97,173.36
169.48,173.07,174.09,174.97,174.96,170.78
173.07,174.09,174.97,174.96,173.14,170.29
174.09,174.97,174.96,173.14,169.98,171.04
174.97,174.96,173.14,169.98,170.15,171.18
174.96,173.14,169.98,170.15,171.1,169.97
173.14,169.98,170.15,171.1,169.08,173.04
169.98,170.15,171.1,169.08,171.34,173.5
170.15,171.1,169.08,171.34,173.97,175.11
171.1,169.08,171.34,173.97,174.67,175.11
169.08,171.34,173.97,174.67,175.88,173.91
171.34,173.97,174.67,175.88,174.81,172.365
173.97,174.67,175.88,174.81,174.25,174.0
174.67,175.88,174.81,174.25,172.5,167.64
175.88,174.81,174.25,172.5,168.11,169.87
174.81,174.25,172.5,168.11,166.89,167.9
174.25,172.5,168.11,166.89,169.04,163.89
172.5,168.11,166.89,169.04,166.72,159.29
168.11,166.89,169.04,166.72,163.05,157.23
166.89,169.04,166.72,163.05,157.41,156.91
169.04,166.72,163.05,157.41,156.405,156.29
166.72,163.05,157.41,156.405,157.1,156.89
163.05,157.41,156.405,157.1,156.17,156.61
157.41,156.405,157.1,156.17,156.16,156.75
156.405,157.1,156.17,156.16,155.98,160.42
157.1,156.17,156.16,155.98,159.76,159.78
156.17,156.16,155.98,159.76,160.47,157.9
156.16,155.98,159.76,160.47,159.88,156.73
155.98,159.76,160.47,159.88,156.99,156.35
159.76,160.47,159.88,156.99,156.0,155.97
160.47,159.88,156.99,156.0,156.55,156.055
159.88,156.99,156.0,156.55,155.9,155.81
156.99,156.0,156.55,155.9,155.84,154.97
156.0,156.55,155.9,155.84,155.3,154.18
156.55,155.9,155.84,155.3,155.39,153.63
155.9,155.84,155.3,155.39,153.4508,154.01
155.84,155.3,155.39,153.4508,154.48,154.26
155.3,155.39,153.4508,154.48,153.81,153.21
155.39,153.4508,154.48,153.81,154.12,153.89
153.4508,154.48,153.81,154.12,153.28,153.8
154.48,153.81,154.12,153.28,154.23,151.78
153.81,154.12,153.28,154.23,153.14,149.99
154.12,153.28,154.23,153.14,150.55,152.02
153.28,154.23,153.14,150.55,151.89,155.8
154.23,153.14,150.55,151.89,153.39,157.9
153.14,150.55,151.89,153.39,156.07,159.51
150.55,151.89,153.39,156.07,158.73,160.11
151.89,153.39,156.07,158.73,158.67,158.47
153.39,156.07,158.73,158.67,159.88,158.99
156.07,158.73,158.67,159.88,158.28,159.87
158.73,158.67,159.88,158.28,159.65,162.61
158.67,159.88,158.28,159.65,160.82,160.5
159.88,158.28,159.65,160.82,161.5,160.86
158.28,159.65,160.82,161.5,158.63,162.09
159.65,160.82,161.5,158.63,161.26,162.71
160.82,161.5,158.63,161.26,161.91,163.75
161.5,158.63,161.26,161.91,162.08,164.8
158.63,161.26,161.91,162.08,164.05,163.64
161.26,161.91,162.08,164.05,164.0,163.8
161.91,162.08,164.05,164.0,163.35,160.1
162.08,164.05,164.0,163.35,162.91,160.14
164.05,164.0,163.35,162.91,161.47,159.65
164.0,163.35,162.91,161.47,159.86,160.43
163.35,162.91,161.47,159.86,159.27,159.07
162.91,161.47,159.86,159.27,159.98,158.23
161.47,159.86,159.27,159.98,159.78,157.5
159.86,159.27,159.98,159.78,157.21,157.86
159.27,159.98,159.78,157.21,157.5,160.52
159.98,159.78,157.21,157.5,157.87,161.94
159.78,157.21,157.5,157.87,160.95,160.66
157.21,157.5,157.87,160.95,161.6,159.32
157.5,157.87,160.95,161.6,159.85,156.6
157.87,160.95,161.6,159.85,157.48,159.9
160.95,161.6,159.85,157.48,155.27,158.61642206543
161.6,159.85,157.48,155.27,160.40914817191,157.95908915972
159.85,157.48,155.27,160.40914817191,159.43310840282,155.43931302117
157.48,155.27,160.40914817191,159.43310840282,155.75801988454,156.41535279025
155.27,160.40914817191,159.43310840282,155.75801988454,154.94133354715,158.63634124439
160.40914817191,159.43310840282,155.75801988454,154.94133354715,156.50498909557,148.4974791533
159.43310840282,155.75801988454,154.94133354715,156.50498909557,149.44364015394,149.29424631174
155.75801988454,154.94133354715,156.50498909557,149.44364015394,148.24848941629,149.28428672226
154.94133354715,156.50498909557,149.44364015394,148.24848941629,148.89586273252,153.12868826171
156.50498909557,149.44364015394,148.24848941629,148.89586273252,149.95157921745,152.73030468249
149.44364015394,148.24848941629,148.89586273252,149.95157921745,152.83986016677,151.18656831302
148.24848941629,148.89586273252,149.95157921745,152.83986016677,152.12276972418,149.97149839641
148.89586273252,149.95157921745,152.83986016677,152.12276972418,151.47539640795,149.38388261706
149.95157921745,152.83986016677,152.12276972418,151.47539640795,149.66275112251,150.88778062861
152.83986016677,152.12276972418,151.47539640795,149.66275112251,149.73246824888,149.8719025016
152.12276972418,151.47539640795,149.66275112251,149.73246824888,150.40972033355,148.59707504811
151.47539640795,149.66275112251,149.73246824888,150.40972033355,149.47351892239,148.21861064785
149.66275112251,149.73246824888,150.40972033355,149.47351892239,148.9556202694,147.37204554201
149.73246824888,150.40972033355,149.47351892239,148.9556202694,148.43772161642,144.91202694035
150.40972033355,149.47351892239,148.9556202694,148.43772161642,147.17285375241,145.28053175112
149.47351892239,148.9556202694,148.43772161642,147.17285375241,145.15105708788,144.14513855035
148.9556202694,148.43772161642,147.17285375241,145.15105708788,144.94190570879,143.52764400257
148.43772161642,147.17285375241,145.15105708788,144.94190570879,144.47380500321,142.32253367543
147.17285375241,145.15105708788,144.94190570879,144.47380500321,143.59736112893,142.4420487492
145.15105708788,144.94190570879,144.47380500321,143.59736112893,142.15322065427,143.10934124439
144.94190570879,144.47380500321,143.59736112893,142.15322065427,143.5077248236,144.29453239256
144.47380500321,143.59736112893,142.15322065427,143.5077248236,142.92010904426,143.8662700449
143.59736112893,142.15322065427,143.5077248236,142.92010904426,143.43800769724,144.12521937139
142.15322065427,143.5077248236,142.92010904426,143.43800769724,143.09938165491,143.90610840282
143.5077248236,142.92010904426,143.43800769724,143.09938165491,145.2406933932,144.4240070558
142.92010904426,143.43800769724,143.09938165491,145.2406933932,143.15913919179,146.57527838358
143.43800769724,143.09938165491,145.2406933932,143.15913919179,145.23073380372,144.54352212957
143.09938165491,145.2406933932,143.15913919179,145.23073380372,145.75859204618,145.18093585632
145.2406933932,143.15913919179,145.23073380372,145.75859204618,145.04150160359,144.93194611931
143.15913919179,145.23073380372,145.75859204618,145.04150160359,145.28053175112,146.27649069917
145.23073380372,145.75859204618,145.04150160359,145.28053175112,144.4240070558,143.07946247595
145.75859204618,145.04150160359,145.28053175112,144.4240070558,145.7486324567,143.19897754971
145.04150160359,145.28053175112,144.4240070558,145.7486324567,141.69507953817,142.74083643361
145.28053175112,144.4240070558,145.7486324567,141.69507953817,143.70691661321,146.90394483643
144.4240070558,145.7486324567,141.69507953817,143.70691661321,144.57340089801,146.5653187941
145.7486324567,141.69507953817,143.70691661321,144.57340089801,145.99762219371,145.15105708788
141.69507953817,143.70691661321,144.57340089801,145.99762219371,144.7327543297,154.56286914689
143.70691661321,144.57340089801,145.99762219371,144.7327543297,148.37796407954,154.62262668377
144.57340089801,145.99762219371,144.7327543297,148.37796407954,154.36367735728,154.39355612572
145.99762219371,144.7327543297,148.37796407954,154.36367735728,154.74214175754,153.27808210391
144.7327543297,148.37796407954,154.36367735728,154.74214175754,153.82585952534,153.71630404105
148.37796407954,154.36367735728,154.74214175754,153.82585952534,153.30796087235,152.95937524054
154.36367735728,154.74214175754,153.82585952534,153.30796087235,154.82181847338,152.55103207184
154.74214175754,153.82585952534,153.30796087235,154.82181847338,152.56099166132,153.34779923028
153.82585952534,153.30796087235,154.82181847338,152.56099166132,152.14268890314,152.80002180885
153.30796087235,154.82181847338,152.56099166132,152.14268890314,153.04901154586,153.37767799872
154.82181847338,152.56099166132,152.14268890314,153.04901154586,152.98925400898,153.10876908275
152.56099166132,152.14268890314,153.04901154586,152.98925400898,153.24820333547,153.21832456703
152.14268890314,153.04901154586,152.98925400898,153.24820333547,152.72034509301,154.27404105196
153.04901154586,152.98925400898,153.24820333547,152.72034509301,153.17848620911,153.37767799872
152.98925400898,153.24820333547,152.72034509301,153.17848620911,153.36771840924,152.76018345093
153.24820333547,152.72034509301,153.17848620911,153.36771840924,152.34188069275,150.65871007056
152.72034509301,153.17848620911,153.36771840924,152.34188069275,151.92357793457,152.9792944195
153.17848620911,153.36771840924,152.34188069275,151.92357793457,149.64283194355,155.30983835792
153.36771840924,152.34188069275,151.92357793457,149.64283194355,154.84173765234,155.37955548428
152.34188069275,151.92357793457,149.64283194355,154.84173765234,155.07080821039,154.07484926235
151.92357793457,149.64283194355,154.84173765234,155.07080821039,155.46919178961,151.83394162925
149.64283194355,154.84173765234,155.07080821039,155.46919178961,153.32788005131,152.3855751862
154.84173765234,155.07080821039,155.46919178961,153.32788005131,152.01857223874,152.62363115213
155.07080821039,155.46919178961,153.32788005131,152.01857223874,152.71290213935,147.82283583935
155.46919178961,153.32788005131,152.01857223874,152.71290213935,151.76067827566,145.57122316167
